{'model': 't5-small', 'token': 't5-small', 'embedding_size': 512, 'hidden_size': 512, 'learning_rate': 0.001, 'epoch_num': 500}
{'val_loss': 4.550928831100464, 'train_loss': 7.210595279932022, 'bleu_score': 0.0}
{'val_loss': 1.9417689442634583, 'train_loss': 0.3836648762226105, 'bleu_score': 0.15617806443091944}
{'val_loss': 1.8666116297245026, 'train_loss': 0.37582105584442616, 'bleu_score': 0.15373466830521149}
{'val_loss': 1.8689046204090118, 'train_loss': 0.3592553026974201, 'bleu_score': 0.18120192277667857}
{'val_loss': 1.912366658449173, 'train_loss': 0.3378745913505554, 'bleu_score': 0.17804286131359143}
{'val_loss': 1.9180298745632172, 'train_loss': 0.3216377981007099, 'bleu_score': 0.1830011633127784}
{'val_loss': 1.9487483501434326, 'train_loss': 0.3184995464980602, 'bleu_score': 0.18798369297673276}
{'val_loss': 1.9680623710155487, 'train_loss': 0.3058699704706669, 'bleu_score': 0.18584055711985087}
{'val_loss': 2.086881995201111, 'train_loss': 0.2981031872332096, 'bleu_score': 0.2045591513666012}
{'val_loss': 2.0011864006519318, 'train_loss': 0.2848168071359396, 'bleu_score': 0.19433987315908555}
{'val_loss': 1.9930002391338348, 'train_loss': 0.2723079165443778, 'bleu_score': 0.1911413584347928}
{'val_loss': 2.0181047916412354, 'train_loss': 0.26772411819547415, 'bleu_score': 0.1719603733777842}
{'val_loss': 2.0570044219493866, 'train_loss': 0.2567180274054408, 'bleu_score': 0.2055807648408827}
{'val_loss': 2.075631082057953, 'train_loss': 0.24642157088965178, 'bleu_score': 0.20100632730635434}
{'val_loss': 2.0620592534542084, 'train_loss': 0.2343598334118724, 'bleu_score': 0.20584729797057028}
{'val_loss': 2.123320519924164, 'train_loss': 0.22918189875781536, 'bleu_score': 0.21299584333743307}
{'val_loss': 2.125730872154236, 'train_loss': 0.21702165808528662, 'bleu_score': 0.20194569226133996}
{'val_loss': 2.0666013658046722, 'train_loss': 0.21753054670989513, 'bleu_score': 0.19774319478348804}
{'val_loss': 2.099588692188263, 'train_loss': 0.19811150431632996, 'bleu_score': 0.21788139675410634}
{'val_loss': 2.137402832508087, 'train_loss': 0.19642710126936436, 'bleu_score': 0.21455309122858712}
{'val_loss': 2.1144988536834717, 'train_loss': 0.19336320646107197, 'bleu_score': 0.20893683145913228}
{'val_loss': 2.150921583175659, 'train_loss': 0.18580885790288448, 'bleu_score': 0.22481617667669523}
{'val_loss': 2.2148314714431763, 'train_loss': 0.1813263464719057, 'bleu_score': 0.2345584811028631}
{'val_loss': 2.1848938167095184, 'train_loss': 0.1718911388888955, 'bleu_score': 0.20943735309879274}
{'val_loss': 2.1458128094673157, 'train_loss': 0.1662538042291999, 'bleu_score': 0.22639275832544575}
{'val_loss': 2.196327269077301, 'train_loss': 0.15452196914702654, 'bleu_score': 0.22599866712069522}
{'val_loss': 2.2216019332408905, 'train_loss': 0.15581994829699397, 'bleu_score': 0.21880221597698846}
{'val_loss': 2.2337361574172974, 'train_loss': 0.1472089267335832, 'bleu_score': 0.21715476219028196}
{'val_loss': 2.247343957424164, 'train_loss': 0.14357098564505577, 'bleu_score': 0.2312993212118799}
{'val_loss': 2.2647538781166077, 'train_loss': 0.13609622605144978, 'bleu_score': 0.23183841718722698}
{'val_loss': 2.3061720728874207, 'train_loss': 0.134913451038301, 'bleu_score': 0.22604276320642472}
{'val_loss': 2.307707905769348, 'train_loss': 0.12715308601036668, 'bleu_score': 0.2221075665680505}
{'val_loss': 2.311549663543701, 'train_loss': 0.12723977072164416, 'bleu_score': 0.22451983006717796}
{'val_loss': 2.3590479493141174, 'train_loss': 0.12072145892307162, 'bleu_score': 0.22760122201461222}
{'val_loss': 2.3430647253990173, 'train_loss': 0.11480081593617797, 'bleu_score': 0.22220115643053928}
{'val_loss': 2.3356598019599915, 'train_loss': 0.11301595019176602, 'bleu_score': 0.21636858186367783}
{'val_loss': 2.3229933977127075, 'train_loss': 0.11147907748818398, 'bleu_score': 0.21909489484805067}
{'val_loss': 2.3733531832695007, 'train_loss': 0.10514020174741745, 'bleu_score': 0.2375983197248754}
{'val_loss': 2.3944934606552124, 'train_loss': 0.09921718575060368, 'bleu_score': 0.2334907877622592}
{'val_loss': 2.374623656272888, 'train_loss': 0.09889365872368217, 'bleu_score': 0.2251043539065193}
{'val_loss': 2.447892129421234, 'train_loss': 0.10015475004911423, 'bleu_score': 0.2322165447868491}
{'val_loss': 2.3713220357894897, 'train_loss': 0.09783726697787642, 'bleu_score': 0.2222735681209787}
{'val_loss': 2.393551290035248, 'train_loss': 0.08879797253757715, 'bleu_score': 0.22815545860197617}
{'val_loss': 2.442195236682892, 'train_loss': 0.07962852204218507, 'bleu_score': 0.23999246072289665}
{'val_loss': 2.4219725131988525, 'train_loss': 0.08707550587132573, 'bleu_score': 0.22871958168594242}
{'val_loss': 2.476072371006012, 'train_loss': 0.07840477908030152, 'bleu_score': 0.23531345510380774}
{'val_loss': 2.4409080147743225, 'train_loss': 0.08159392373636365, 'bleu_score': 0.2412313526821299}
{'val_loss': 2.474182367324829, 'train_loss': 0.07522550597786903, 'bleu_score': 0.23045350471462944}
{'val_loss': 2.4509286284446716, 'train_loss': 0.07334467326290905, 'bleu_score': 0.22696540629187498}
{'val_loss': 2.451003134250641, 'train_loss': 0.07280205260030925, 'bleu_score': 0.24328726645831025}
{'val_loss': 2.5099716186523438, 'train_loss': 0.072506801225245, 'bleu_score': 0.22986649661489617}
{'val_loss': 2.4941903948783875, 'train_loss': 0.0714615317992866, 'bleu_score': 0.2363568286804101}
{'val_loss': 2.514634847640991, 'train_loss': 0.06763848685659468, 'bleu_score': 0.24184951529950088}
{'val_loss': 2.5583481192588806, 'train_loss': 0.06507421797141433, 'bleu_score': 0.2225406438110637}
{'val_loss': 2.556162714958191, 'train_loss': 0.06308795767836273, 'bleu_score': 0.22797358572563386}
{'val_loss': 2.596771717071533, 'train_loss': 0.06059297639876604, 'bleu_score': 0.2327655351477208}
{'val_loss': 2.5675708651542664, 'train_loss': 0.05824129329994321, 'bleu_score': 0.23352205320603092}
{'val_loss': 2.619665265083313, 'train_loss': 0.05686615384183824, 'bleu_score': 0.23538142851708685}
{'val_loss': 2.586042106151581, 'train_loss': 0.05759977316483855, 'bleu_score': 0.23579977831436538}
{'val_loss': 2.587121844291687, 'train_loss': 0.055449505569413304, 'bleu_score': 0.25367644137237166}
{'val_loss': 2.633208215236664, 'train_loss': 0.0586016287561506, 'bleu_score': 0.2341460624939403}
{'val_loss': 2.618704319000244, 'train_loss': 0.05293884174898267, 'bleu_score': 0.2407554937043175}
{'val_loss': 2.5951809883117676, 'train_loss': 0.0512669796589762, 'bleu_score': 0.24055458442797054}
{'val_loss': 2.6238821148872375, 'train_loss': 0.05229887389577925, 'bleu_score': 0.244909509940755}
{'val_loss': 2.5981804728507996, 'train_loss': 0.05217389343306422, 'bleu_score': 0.24580620418705376}
{'val_loss': 2.6731494069099426, 'train_loss': 0.04910138971172273, 'bleu_score': 0.23658587038331058}
{'val_loss': 2.6753907799720764, 'train_loss': 0.048711231444031, 'bleu_score': 0.2351540389631152}
{'val_loss': 2.6872740387916565, 'train_loss': 0.04697910137474537, 'bleu_score': 0.24076074601357172}
{'val_loss': 2.703199625015259, 'train_loss': 0.049323345767334104, 'bleu_score': 0.23951340346012973}
{'val_loss': 2.7086337208747864, 'train_loss': 0.04369002964813262, 'bleu_score': 0.2337100681984175}
{'val_loss': 2.6911681294441223, 'train_loss': 0.043772456003353, 'bleu_score': 0.23751496507782133}
{'val_loss': 2.7415924072265625, 'train_loss': 0.04407789767719805, 'bleu_score': 0.23503080518661332}
{'val_loss': 2.7024255990982056, 'train_loss': 0.040224524680525064, 'bleu_score': 0.24491026085205808}
{'val_loss': 2.684393584728241, 'train_loss': 0.040909768315032125, 'bleu_score': 0.24743650461038091}
{'val_loss': 2.709519863128662, 'train_loss': 0.036262743873521686, 'bleu_score': 0.2446470614288025}
{'val_loss': 2.7238911390304565, 'train_loss': 0.03810835303738713, 'bleu_score': 0.2456054174791364}
{'val_loss': 2.6736899614334106, 'train_loss': 0.03918448730837554, 'bleu_score': 0.24838329629077338}
{'val_loss': 2.681662678718567, 'train_loss': 0.03424685541540384, 'bleu_score': 0.2463024530230126}
{'val_loss': 2.7098390460014343, 'train_loss': 0.03471363824792206, 'bleu_score': 0.24363312487346883}
{'val_loss': 2.7141112685203552, 'train_loss': 0.035416353144682944, 'bleu_score': 0.24377717710480246}
{'val_loss': 2.6859548687934875, 'train_loss': 0.03428096300922334, 'bleu_score': 0.24764336069243215}
{'val_loss': 2.712428331375122, 'train_loss': 0.0330764529062435, 'bleu_score': 0.24313748624170575}
{'val_loss': 2.707311511039734, 'train_loss': 0.03492401819676161, 'bleu_score': 0.23790863680932262}
{'val_loss': 2.7225911617279053, 'train_loss': 0.03080835531000048, 'bleu_score': 0.24119170936427403}
{'val_loss': 2.7333545088768005, 'train_loss': 0.032116492511704564, 'bleu_score': 0.24282843169457852}
{'val_loss': 2.695534110069275, 'train_loss': 0.03301084123086184, 'bleu_score': 0.24536452029804395}
{'val_loss': 2.6812146306037903, 'train_loss': 0.03343984007369727, 'bleu_score': 0.2453149499471062}
{'val_loss': 2.725855052471161, 'train_loss': 0.03021812462247908, 'bleu_score': 0.24148036546518928}
{'val_loss': 2.714681565761566, 'train_loss': 0.03205988765694201, 'bleu_score': 0.2451785143646258}
{'val_loss': 2.71291321516037, 'train_loss': 0.03481240454129875, 'bleu_score': 0.2488032679037656}
{'val_loss': 2.7646403908729553, 'train_loss': 0.030244865105487406, 'bleu_score': 0.24107148935768902}
{'val_loss': 2.729104518890381, 'train_loss': 0.030305782449431717, 'bleu_score': 0.23982638114290777}
{'val_loss': 2.7469274401664734, 'train_loss': 0.03292968915775418, 'bleu_score': 0.24668870035257712}
{'val_loss': 2.7578439712524414, 'train_loss': 0.03009521763306111, 'bleu_score': 0.24720044867921637}
{'val_loss': 2.7049939036369324, 'train_loss': 0.029931954108178616, 'bleu_score': 0.2480849141832822}
{'val_loss': 2.7145047783851624, 'train_loss': 0.029742751037701964, 'bleu_score': 0.2451825668120327}
{'val_loss': 2.723142445087433, 'train_loss': 0.029073792858980596, 'bleu_score': 0.248984229179598}
{'val_loss': 2.7263603806495667, 'train_loss': 0.029188091750256717, 'bleu_score': 0.2406747748052333}
{'val_loss': 2.7260027527809143, 'train_loss': 0.028182196547277272, 'bleu_score': 0.24612864406879287}
{'val_loss': 2.732246160507202, 'train_loss': 0.03112936276011169, 'bleu_score': 0.24522108237119916}
{'val_loss': 2.6975332498550415, 'train_loss': 0.02862088626716286, 'bleu_score': 0.2523285518188294}
{'val_loss': 2.7061628699302673, 'train_loss': 0.02964260207954794, 'bleu_score': 0.25427626404149994}
{'val_loss': 2.727071762084961, 'train_loss': 0.02588570979423821, 'bleu_score': 0.24657153677352456}
{'val_loss': 2.74922913312912, 'train_loss': 0.02892010600771755, 'bleu_score': 0.2458856425644098}
{'val_loss': 2.771580159664154, 'train_loss': 0.026429021963849664, 'bleu_score': 0.24504765918545487}
{'val_loss': 2.779662251472473, 'train_loss': 0.028873084695078433, 'bleu_score': 0.24693209486856307}
{'val_loss': 2.7473207116127014, 'train_loss': 0.027702346327714622, 'bleu_score': 0.24864492189689202}
{'val_loss': 2.7774306535720825, 'train_loss': 0.028423713520169258, 'bleu_score': 0.24732049711839466}
{'val_loss': 2.749413788318634, 'train_loss': 0.028742624446749687, 'bleu_score': 0.2461753034636185}
{'val_loss': 2.740858018398285, 'train_loss': 0.027049676165916026, 'bleu_score': 0.2493817991951659}
{'val_loss': 2.7686851620674133, 'train_loss': 0.026324417092837393, 'bleu_score': 0.24418280626657662}
{'val_loss': 2.7916491627693176, 'train_loss': 0.026684075593948364, 'bleu_score': 0.2451033299402525}
{'val_loss': 2.797241985797882, 'train_loss': 0.025783109129406512, 'bleu_score': 0.24144629322487093}
{'val_loss': 2.767128825187683, 'train_loss': 0.02700993197504431, 'bleu_score': 0.2453928890776758}
{'val_loss': 2.767474412918091, 'train_loss': 0.027969852089881897, 'bleu_score': 0.25065499930178875}
{'val_loss': 2.7576454877853394, 'train_loss': 0.02554898662492633, 'bleu_score': 0.24615000848282365}
{'val_loss': 2.7641907334327698, 'train_loss': 0.02502008411101997, 'bleu_score': 0.25260776742093055}
{'val_loss': 2.758264183998108, 'train_loss': 0.024252468370832503, 'bleu_score': 0.2434797065637163}
{'val_loss': 2.780059039592743, 'train_loss': 0.02540717099327594, 'bleu_score': 0.24647516963053895}
{'val_loss': 2.766162157058716, 'train_loss': 0.024118052329868078, 'bleu_score': 0.24214279879116604}
{'val_loss': 2.770463764667511, 'train_loss': 0.02648652868811041, 'bleu_score': 0.24541889859894506}
{'val_loss': 2.7289686799049377, 'train_loss': 0.028441379428841174, 'bleu_score': 0.2487959632444963}
{'val_loss': 2.751380443572998, 'train_loss': 0.026052202621940523, 'bleu_score': 0.25059617052558003}
{'val_loss': 2.742693841457367, 'train_loss': 0.026270708302035928, 'bleu_score': 0.2493929510308379}
{'val_loss': 2.798358738422394, 'train_loss': 0.02462315047159791, 'bleu_score': 0.2519582215580252}
{'val_loss': 2.7705000042915344, 'train_loss': 0.02502345305401832, 'bleu_score': 0.2523015816558204}
{'val_loss': 2.775994658470154, 'train_loss': 0.026163379079662263, 'bleu_score': 0.24662367091842405}
{'val_loss': 2.7391621470451355, 'train_loss': 0.02545611362438649, 'bleu_score': 0.2512337034142462}
{'val_loss': 2.7705538868904114, 'train_loss': 0.024439186323434114, 'bleu_score': 0.24340606900280554}
{'val_loss': 2.7827581763267517, 'train_loss': 0.025377771817147732, 'bleu_score': 0.250841684616818}
{'val_loss': 2.7799437642097473, 'train_loss': 0.025308713666163385, 'bleu_score': 0.24761989347202717}
{'val_loss': 2.794765591621399, 'train_loss': 0.02487497602123767, 'bleu_score': 0.24703633465044578}
{'val_loss': 2.7632153630256653, 'train_loss': 0.02597318682819605, 'bleu_score': 0.25179359445506083}
{'val_loss': 2.8204103112220764, 'train_loss': 0.024915736576076597, 'bleu_score': 0.24464624579663435}
{'val_loss': 2.8122957348823547, 'train_loss': 0.025248328456655145, 'bleu_score': 0.24195404869453369}
{'val_loss': 2.7783364057540894, 'train_loss': 0.0230497372103855, 'bleu_score': 0.24559560215426562}
{'val_loss': 2.7845115661621094, 'train_loss': 0.02490334480535239, 'bleu_score': 0.2481815413013948}
{'val_loss': 2.7733927965164185, 'train_loss': 0.023414650990162045, 'bleu_score': 0.24773857230330254}
{'val_loss': 2.753755748271942, 'train_loss': 0.024521664599888027, 'bleu_score': 0.24833454103036423}
{'val_loss': 2.815345823764801, 'train_loss': 0.024926792772021145, 'bleu_score': 0.24235823499348041}
{'val_loss': 2.795944035053253, 'train_loss': 0.022971011349000037, 'bleu_score': 0.24006302297063262}
{'val_loss': 2.8285672664642334, 'train_loss': 0.023023538407869637, 'bleu_score': 0.24161536754209478}
{'val_loss': 2.7791308164596558, 'train_loss': 0.024941397947259247, 'bleu_score': 0.2453646431541336}
{'val_loss': 2.785569489002228, 'train_loss': 0.022283099475316703, 'bleu_score': 0.24192016642602365}
{'val_loss': 2.7594894766807556, 'train_loss': 0.02535050583537668, 'bleu_score': 0.24603029302133528}
{'val_loss': 2.841525673866272, 'train_loss': 0.026365406112745404, 'bleu_score': 0.23597696410260735}
{'val_loss': 2.8377333879470825, 'train_loss': 0.022945924079976976, 'bleu_score': 0.24650817951267803}
{'val_loss': 2.7855249643325806, 'train_loss': 0.021810022764839232, 'bleu_score': 0.25403166421758694}
{'val_loss': 2.790925681591034, 'train_loss': 0.022723459056578577, 'bleu_score': 0.2469367277850309}
{'val_loss': 2.8145073652267456, 'train_loss': 0.022367599653080106, 'bleu_score': 0.2453563278025005}
{'val_loss': 2.8366536498069763, 'train_loss': 0.022353294189088047, 'bleu_score': 0.2436824872404813}
{'val_loss': 2.852535128593445, 'train_loss': 0.022395326057448983, 'bleu_score': 0.2411367817004065}
{'val_loss': 2.835975229740143, 'train_loss': 0.02423424390144646, 'bleu_score': 0.24555191193611764}
{'val_loss': 2.809916615486145, 'train_loss': 0.023113716510124505, 'bleu_score': 0.25137648173721167}
{'val_loss': 2.828170359134674, 'train_loss': 0.02130714536178857, 'bleu_score': 0.24559610823411285}
{'val_loss': 2.8244734406471252, 'train_loss': 0.021533739054575562, 'bleu_score': 0.2426245796788825}
{'val_loss': 2.8340470790863037, 'train_loss': 0.020581912365742028, 'bleu_score': 0.24826508759872704}
{'val_loss': 2.793075978755951, 'train_loss': 0.020739505474921316, 'bleu_score': 0.2501589763345766}
{'val_loss': 2.851670205593109, 'train_loss': 0.02016694564372301, 'bleu_score': 0.24273757746977595}
{'val_loss': 2.80483615398407, 'train_loss': 0.022420205059461296, 'bleu_score': 0.24556063074892123}
{'val_loss': 2.8312491178512573, 'train_loss': 0.02143259230069816, 'bleu_score': 0.2442806146998498}
{'val_loss': 2.819656193256378, 'train_loss': 0.0215658392990008, 'bleu_score': 0.24672738739408287}
{'val_loss': 2.83009135723114, 'train_loss': 0.021654629323165864, 'bleu_score': 0.25171279211580716}
{'val_loss': 2.818669617176056, 'train_loss': 0.022191743017174304, 'bleu_score': 0.24845541961463163}
{'val_loss': 2.8381212949752808, 'train_loss': 0.022112304635811597, 'bleu_score': 0.2459356747490836}
{'val_loss': 2.815701186656952, 'train_loss': 0.020708932832349092, 'bleu_score': 0.24974841718851915}
{'val_loss': 2.7904303073883057, 'train_loss': 0.02017275762045756, 'bleu_score': 0.25873449435817586}
{'val_loss': 2.8223233222961426, 'train_loss': 0.021120390156283975, 'bleu_score': 0.24700812012307555}
{'val_loss': 2.7981887459754944, 'train_loss': 0.02262282941956073, 'bleu_score': 0.2523688194540107}
{'val_loss': 2.839738130569458, 'train_loss': 0.021353247633669525, 'bleu_score': 0.24830459721763778}
{'val_loss': 2.856584310531616, 'train_loss': 0.02191980747738853, 'bleu_score': 0.24580177859557478}
{'val_loss': 2.8558594584465027, 'train_loss': 0.022040933195967227, 'bleu_score': 0.24747726622184493}
{'val_loss': 2.8520490527153015, 'train_loss': 0.022628170903772116, 'bleu_score': 0.24612756540545186}
{'val_loss': 2.8435299396514893, 'train_loss': 0.022385642980225384, 'bleu_score': 0.24899122046344402}
{'val_loss': 2.8665303587913513, 'train_loss': 0.02143088012235239, 'bleu_score': 0.24792809333246008}
{'val_loss': 2.8639694452285767, 'train_loss': 0.019712975539732724, 'bleu_score': 0.25530914449782766}
{'val_loss': 2.8507540225982666, 'train_loss': 0.021019188803620636, 'bleu_score': 0.24836511041758674}
{'val_loss': 2.865225672721863, 'train_loss': 0.019476645393297076, 'bleu_score': 0.24653277798446263}
{'val_loss': 2.8562708497047424, 'train_loss': 0.018725462490692735, 'bleu_score': 0.24990572674076755}
{'val_loss': 2.824158787727356, 'train_loss': 0.019327793444972485, 'bleu_score': 0.2463143614325326}
{'val_loss': 2.818443775177002, 'train_loss': 0.02035393816186115, 'bleu_score': 0.2478566128766182}
{'val_loss': 2.8218021988868713, 'train_loss': 0.02084308839403093, 'bleu_score': 0.2557850494200664}
{'val_loss': 2.8374239802360535, 'train_loss': 0.021606617490760982, 'bleu_score': 0.2538430573766415}
{'val_loss': 2.8824503421783447, 'train_loss': 0.020456811995245516, 'bleu_score': 0.24387430011904665}
{'val_loss': 2.866779327392578, 'train_loss': 0.020985637442208827, 'bleu_score': 0.2500689238186962}
{'val_loss': 2.8645463585853577, 'train_loss': 0.021577772335149348, 'bleu_score': 0.24698007358074037}
{'val_loss': 2.8727322220802307, 'train_loss': 0.019842328561935574, 'bleu_score': 0.2489189856074597}
{'val_loss': 2.841909170150757, 'train_loss': 0.01889329095138237, 'bleu_score': 0.24930502997013276}
{'val_loss': 2.8584699034690857, 'train_loss': 0.020261095487512648, 'bleu_score': 0.2469241057352487}
{'val_loss': 2.8445942997932434, 'train_loss': 0.017957701056730002, 'bleu_score': 0.24958045170714613}
{'val_loss': 2.876846194267273, 'train_loss': 0.01955171237932518, 'bleu_score': 0.2433642281688507}
{'val_loss': 2.8739359378814697, 'train_loss': 0.018263387959450483, 'bleu_score': 0.24787727981939348}
{'val_loss': 2.865767240524292, 'train_loss': 0.019493303494527936, 'bleu_score': 0.2473762811594527}
{'val_loss': 2.882026731967926, 'train_loss': 0.01905319804791361, 'bleu_score': 0.2373753521643469}
{'val_loss': 2.849589228630066, 'train_loss': 0.021260556939523667, 'bleu_score': 0.24597382087782643}
{'val_loss': 2.8881470561027527, 'train_loss': 0.02124515053583309, 'bleu_score': 0.2438133121052345}
{'val_loss': 2.8664003014564514, 'train_loss': 0.01982599269831553, 'bleu_score': 0.24858493407557036}
{'val_loss': 2.84965842962265, 'train_loss': 0.01801210455596447, 'bleu_score': 0.25105289866249425}
{'val_loss': 2.8590781688690186, 'train_loss': 0.020077615976333618, 'bleu_score': 0.2483551036270465}
{'val_loss': 2.871128022670746, 'train_loss': 0.017814477847423404, 'bleu_score': 0.24771865253118464}
{'val_loss': 2.8844483494758606, 'train_loss': 0.019662881270051003, 'bleu_score': 0.2437757432258082}
{'val_loss': 2.8653696179389954, 'train_loss': 0.018229162436909974, 'bleu_score': 0.24832276024772254}
{'val_loss': 2.8894031643867493, 'train_loss': 0.019960475445259362, 'bleu_score': 0.24725159232716143}
{'val_loss': 2.846406400203705, 'train_loss': 0.019399570592213422, 'bleu_score': 0.2531359715043152}
{'val_loss': 2.8732864260673523, 'train_loss': 0.016724014072678983, 'bleu_score': 0.24575518456485201}
{'val_loss': 2.9304246306419373, 'train_loss': 0.01959035819163546, 'bleu_score': 0.24197467357409158}
{'val_loss': 2.8548072576522827, 'train_loss': 0.018216176657006145, 'bleu_score': 0.24465705446795066}
{'val_loss': 2.844692885875702, 'train_loss': 0.01988718134816736, 'bleu_score': 0.24936660318728138}
{'val_loss': 2.839577853679657, 'train_loss': 0.01761306350817904, 'bleu_score': 0.25284250886038523}
{'val_loss': 2.886880576610565, 'train_loss': 0.0190845140023157, 'bleu_score': 0.24495765625257843}
{'val_loss': 2.8822669982910156, 'train_loss': 0.018102678295690566, 'bleu_score': 0.24142040705107243}
{'val_loss': 2.8518288135528564, 'train_loss': 0.01966710272245109, 'bleu_score': 0.24949427664459156}
